text,n,tweet_url
"A @CEP_LSE study has found that teachers could need to work ""well over two additional hours per week"" to make up for lost learning once schools reopen
https://t.co/HFbR1kccRb",5,https://twitter.com/tes/status/1258246430877274112
"Last week, the Education Minister, Kirsty Williams, set out her five key principles which will determine how education will be phased in at schools in Wales.

Keep an eye on our FAQs for updated information.

https://t.co/vOfSfeF6j6 https://t.co/XPTu7Z796a",4,https://twitter.com/WG_Education/status/1258095491679760384
Schools in Wuhan reopen for first time since coronavirus outbreak https://t.co/C4xhtOruff,4,https://twitter.com/standardnews/status/1258180557218996226
"The learning loss over a four-week school closure is equivalent to ""moving a middle-ranking child down to the bottom 30 per cent of children"", a @CEP_LSE study says
https://t.co/HFbR1kccRb",4,https://twitter.com/tes/status/1258170937448583168
Has everyone seen this new best practice guidance from DfE? Tips on how to do what you've been doing for the last few weeks. Someone thought it was useful. https://t.co/Gp1DrceQuP,4,https://twitter.com/SchoolDuggery/status/1257972943885348864
"Get the latest coronavirus guidance for schools by subscribing to our teacher bulletin.     

Subscribe now for the latest updates from us straight to your 
inbox 👇 

https://t.co/Pcr2eGJBO6 https://t.co/Ny3y5kJmKW",4,https://twitter.com/educationgovuk/status/1257750726077489152
PCS has launched a Save The British Council campaign to fight for the future of the organisation whose funding has been cut by 85% because of the closure of nearly all its schools due to coronavirus-related measures worldwide. https://t.co/uWwUI9aNhx #SaveBritishCouncil https://t.co/kQV2FOqjT3,4,
"Excellent article on school re-opening issues which @GavinWilliamson from the Government and @AngelaRayner from @UKLabour must consider with some urgency.

https://t.co/3ieUXdaU0H",4,https://twitter.com/docrussjackson/status/1258036312235544577
"'No need for teacher PPE,' say ministers, closing the gap, and a rebuttal of @Andrew_Adonis's criticism of schools. It's all here: Coronavirus and schools: LIVE 7/5 https://t.co/ugyADQ8YOa",4,https://twitter.com/wstewarttes/status/1258290634273755143
Coronavirus schools return: Can you really keep children 2m apart? - BBC News This is well worth a read. We need to ensure our schools have a clear plan not based on political expediency #Covid_19 #schools  https://t.co/l42sZxoDXr,4,https://twitter.com/JPAMDG/status/1258141062348054528
"Powys Teaching Health Board has published an open letter of thanks to teachers, schools, childcare staff and @PowysCC @powyssch colleagues for their work during Coronavirus 

https://t.co/cETiC4rZpM

#StayHomeSaveLives https://t.co/tqGBsBlAEw",4,https://twitter.com/PTHBhealth/status/1258311469122424832
"Plans being put in place so if referrals spike #CouncilsCan ensure children and families get the right help quickly, ⁦@cllrjudithblake⁩ tells ⁦@Independent⁩  https://t.co/IXFnvhlM2D",3,https://twitter.com/LGANews/status/1257972855813345281
