text,n
"Primary schools are unlikely to re-open until the end of May.
Secondary schools not before 
the end of June
It could be the end of August before pubs and restaurants open their doors again. 

Source:
Sky News
#lockdownextension #coronavirus
#1984",1
"PM says he’ll lay out a “comprehensive plan” next week for getting economy moving, schools reopened and safe travel to work #coronavirus",1
"On our Communication and Interaction Coronavirus page we have just added a new section on ""Visuals"". 

This section includes helpful advice and free downloadable resources.

For more information: https://t.co/cAHcWp3bnW https://t.co/vUu343rHQh",1
"""Much more needs to be done to halt the spread of the #coronavirus, but what is apparent is that the only people who will fight to keep our schools safe are the working-class themselves.""

Join us Friday at 7pm for our Education Fightback Forum.
#FiveTests
https://t.co/LQTduf1IMy https://t.co/PSfuy0Hvat",1
"New Studies Add to Evidence that Children May Transmit the Coronavirus

“to open schools because of some uninvestigated notion that children aren’t really involved in this, that would be a very foolish thing.”

#COVID19 
https://t.co/WmTnxe4jtd",1
"NEWS
----------
Britain has the worst death rate in Europe from coronavirus and boris johnson and his cabinet should be arrested and made to answer why this has happened. 
1. Not enough PPE
2. Not enough testing
3. Did not act quickly enough to lockdown work and schools.",1
"Many parents believe reopening schools in June is too early in the UK's battle against coronavirus, with many thinking it might cause a second wave. https://t.co/D9wwmoX0KG",1
"Making schools reopen is far too risky, says Rabb
A blanket reopening of schools next month would risk a deadly second wave of #coronavirus @DominicRaab  warned last night 🏫 https://t.co/kKXch3vP1F",1
"Macron's promised more support for cultural workers, touts a public art commissioning programme and calls on artists to help out in schools https://t.co/ONfn9nATe0 following huge criticism he's not done enough for culture",1
Let's not open schools just yet eh? https://t.co/9kqVsrUNmu,1
LISTEN: Jacquie White of the Ulster Teacher's Union is one of the signatories to the letter which warns of the “very real risk of creating a spike in the transmission of the #coronavirus by a premature opening of schools”.  ⁦@goQradio⁩  https://t.co/4MwzxPt9UB,1
"John McGowan, general secretary of the Social Workers Union, said the sector was not adequately funded to deal with the expected rise in referrals.

https://t.co/ycEIMkjhVE",1
"It's 'too dangerous to reopen schools as bugs like coronavirus prey on kids', experts warn https://t.co/IO2IEaVvmJ",1
Interesting range of case studies demonstrating the innovation and flexibility of teachers and schools. #proudtoteach https://t.co/elhiCZ9O19,1
ICYMI: @educationgovuk has published a collection of case studies demonstrating remote education practice for schools during COVID-19 https://t.co/wuX7l2L4Ca,1
How do I keep my son’s career on track during the coronavirus crisis? @dearjohnbyrne offers tips on how to help your child choose the right course at a time when visiting prospective drama schools is not an option https://t.co/d5Y3BOeQAY https://t.co/S5JxarVbbe,1
"📢 Coronavirus update – you might see us in your street

Our priority is to keep the network flowing to your homes, hospitals, businesses and schools.

If you see our #keyworkers in your street please do not approach – you can always 😀👋🏻👍🏼🤟🏻🤙🏻🖖🏻 (from a safe distance) https://t.co/6gmmAyW560",1
