text,n,tweet_url
BREAKING @DominicRaab talks about potential risk to #coronavirus transmission of opening schools #downingstreet #briefing https://t.co/w1BQb4pLNp,24,https://twitter.com/tes/status/1257720962814001152
"Many parents believe reopening schools in June is too early in the UK's battle against coronavirus, with many thinking it might cause a second wave. https://t.co/D9wwmoX0KG",22,https://twitter.com/LBC/status/1257429848022278149
Teachers react with fury at former schools minister @Andrew_Adonis  suggestion that @Ofstednews should intervene to rate online learning provision https://t.co/VLeC5FQpWQ,21,https://twitter.com/tes/status/1256153380814192640
"Excl: The Government has told industry groups that the new coronavirus distancing plans for workplaces will have to be in place for between 6 and 12 months: 
https://t.co/VeRu7etpRN
#TomorrowsPapersToday https://t.co/Eop8iUZ2Jd",21,https://twitter.com/matt_dathan/status/1257416835600912489
"Social workers brace for surge in child protection referrals when schools re-open

@ChildrensComm tells me school closures will have devastating long-term impact on children – with some never able to catch up – unless urgent action is taken to support them https://t.co/PADVul5rQg",20,https://twitter.com/maybulman/status/1258030689863245824
"Schools in UK may not return until September, Hancock warns https://t.co/gGSv3GdrK9",20,https://twitter.com/standardnews/status/1257986507983466496
Editorial: The least Britain can do during the pandemic is feed the children who have been plunged into poverty https://t.co/kF0O8jwQTu,20,https://twitter.com/Independent/status/1256148229303001090
"Parents! Take the @Parentkind survey on when UK schools should reopen - closes 4th May at 9am. Results will inform government policy making 🙏

https://t.co/8o6nCqJcot

#COVIDー19 #Covid19UK #Covid_19 #coronavirusuk #HomeLearningUK #SchoolClosures https://t.co/6XiXelOca8",20,https://twitter.com/martin_hamilton/status/1256913272953077760
Majority of Americans think Trump is doing a poor job tackling coronavirus https://t.co/Hyg60fpjzr,20,
"Housing Sec @RobertJenrick says the govt has ""taken scientific advice"" on the level of protective equipment needed in schools when they reopen, and the current advice is that staff in non-residential settings ""don't require PPE"".

#Coronavirus latest: https://t.co/mrEW6A74e7 https://t.co/bKTY9C5hUo",19,https://twitter.com/SkyNews/status/1258081695682658306
"Get the latest coronavirus guidance for schools by subscribing to our teacher bulletin.     

Subscribe now for the latest updates from us straight to your 
inbox 👇 

https://t.co/Pcr2eGJBO6 https://t.co/Ny3y5kJmKW",19,https://twitter.com/educationgovuk/status/1257750726077489152
"Gyms and crèches will be last in the roadmap plan, along with schools and colleges, more details about what opens in which phase can be found here:

https://t.co/U9PICjFC3n via @IrishTimes",18,https://twitter.com/Jennifer_Bray/status/1256279032892620801
#PCS has launched a Save The British Council campaign to fight for the future of the organisation whose funding has been cut by 85% because of the closure of nearly all its schools due to coronavirus-related measures worldwide. https://t.co/uWwUI8TcpZ #SaveBritishCouncil https://t.co/Qvp8TZFWXk,17,https://twitter.com/pcs_union/status/1256483562188144640
"Nicola Sturgeon says Scottish gov't will announce when schools go back – not UK gov't https://t.co/P9OcaLNrG9

🤣🤣🤣🤣🤣🤣

Of course. The Scottish gov't have total control of Education here. Just like the NHS, Education is 100% devolved to Holyrood

Please remember that folks.",17,https://twitter.com/BRRSC/status/1256936405600808960
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/XD07eOSJqq",17,https://twitter.com/SkyNews/status/1258128148941725698
Coronavirus: scientists caution against reopening schools https://t.co/BOxpyI9HaU,17,
"#Coronavirus: When will UK schools reopen, and what can we learn from Europe about how it will happen? https://t.co/uLURAX0ezl",17,https://twitter.com/SkyNews/status/1257743599564963845
"First Minister says schools won't reopen until at least June as he outlines plans for who returns first

https://t.co/hGU4XTAMWn https://t.co/0YhvpjVW1O",17,https://twitter.com/WalesOnline/status/1256880039116918784
".@NicolaSturgeon at @scotgov briefing:

- We are seeing progress but progress is fragile 
- Need to get &amp; keep R number below 1
- R needs to be below 1 before we restrictions ease
- See Denmark experience re schools

Framework for Decision Making' doc 👇
https://t.co/1C9AiiN9wu",17,https://twitter.com/erikgeddes/status/1257636428248424449
"Former schools minister @Andrew_Adonis told to ""get some evidence"" after writing to @Ofstednews over ""poor"" remote teaching provision during school closures https://t.co/12r1ugROJV - me via @tes",17,https://twitter.com/tweetsbyames/status/1256161741106548736
"Science says Primary-aged children are less at risk of Coronavirus but are people forgetting about teachers and those who work with these children? If schools are opening again in June, we should have protection in place. Can't rely on social distancing, it's impossible.",16,https://twitter.com/MrB_RH/status/1256882231471214592
"If you only read three stories...

🔴 UK has highest number of 
 #COVID19 deaths in Europe https://t.co/SdNnca5KoT

🔴 Rival states targeted UK and US COVID-19 labs with 'malicious cyber campaigns' https://t.co/uOvvO1v1fO

🔴 How could UK open schools? https://t.co/ilKC2xL6Et https://t.co/HSSFpxWJnm",16,https://twitter.com/SkyNews/status/1257740608636059654
"Ten teacher unions across the UK and Ireland have written to the education ministers in England, Wales, Scotland, Northern Ireland and the Republic warning against a rush to reopen schools https://t.co/nS6VYGHkLM @theipaper",16,https://twitter.com/whazell/status/1257633067042299904
"United’s Foundation are donating £300,000 to local schools in latest coronavirus initiative #mufc",15,https://twitter.com/jamesrobsonES/status/1257627218194374656
