,trigram,n
6306,rate transmission rate,33
9905,would rise level,33
6266,raab latest covid19,33
2636,evidence wouldnt able,33
7763,secretary dominic raab,33
9916,wouldnt able open,33
8157,spike says foreign,33
7751,second spike says,33
2212,dominic raab latest,33
5413,open schools without,33
6363,real risk rate,33
7033,says foreign secretary,33
6307,rate would rise,33
9758,without real risk,33
6833,rise level would,33
6857,risk rate transmission,33
2323,early reopen schools,33
9063,transmission rate would,33
7640,schools without real,33
267,announce schools go,33
999,children plunged poverty,32
4248,least britain pandemic,32
1503,coronavirus live early,32
5540,pandemic feed children,32
2365,editorial least britain,32
4383,live early reopen,32
6557,reopen schools scotland,32
908,chief medical officer,32
64,across uk ireland,32
672,britain pandemic feed,32
7701,scotland says scottish,32
2786,feed children plunged,32
7565,schools scotland says,32
9190,uk schools lockdown,31
7060,says union boss,31
4958,must lead reopening,31
3293,govt announce schools,31
3261,government must lead,31
4193,lead reopening uk,31
4482,lockdown says union,31
7375,schools lockdown says,31
6655,reopening uk schools,31
8869,this side summer,30
736,call testing staff,30
8421,summer holidays vulnerable,30
9755,within schools reopened,30
8369,students national plan,30
4718,may reopen this,30
4721,may return september,30
4817,might return first,30
7968,side summer holidays,30
2200,distancing within schools,30
8223,staff students national,30
9594,we compromise safety,30
1877,criteria drawn neunion,30
5802,plan social distancing,30
7858,september hancock warns,30
1281,compromise safety children,30
8070,social distancing within,30
6791,return september hancock,30
7697,scotland may reopen,30
996,children nicolasturgeon says,30
6976,safety children nicolasturgeon,30
7047,says schools scotland,30
6572,reopen this side,30
9054,transferring secondary school,30
7132,school might return,30
7564,schools scotland may,30
8752,testing staff students,30
5209,nicolasturgeon says schools,30
9498,vulnerable pupils transferring,30
9176,uk may return,30
6774,return first covid19,30
2851,first covid19 latest,30
7757,secondary school might,30
3570,holidays vulnerable pupils,30
2065,deputy chief medical,30
7615,schools uk may,30
5066,neunion call testing,30
6213,pupils transferring secondary,30
1124,closed due coronavirus,30
4990,national plan social,30
2284,drawn neunion call,30
4016,june early uks,29
6742,restaurants remain shut,29
4649,many thinking might,29
2329,early uks battle,29
6179,pubs schools restaurants,29
9206,uks battle coronavirus,29
4638,many parents believe,29
8864,thinking might cause,29
6100,proportion brits want,29
832,cause second wave,29
537,believe reopening schools,29
504,battle coronavirus many,29
1038,children young people,29
5576,parents believe reopening,29
5515,overwhelming proportion brits,29
687,brits want pubs,29
4814,might cause second,29
9525,want pubs schools,29
7542,schools restaurants remain,29
1533,coronavirus many thinking,29
7354,schools june early,29
7088,school closed student,28
1986,death toll hits,28
3561,hits latest updates,28
1666,coronavirus weve created,28
796,carers children young,28
7907,share network parents,28
9694,weve created two,28
2306,due coronavirus weve,28
1272,complete share network,28
4389,live sydney school,28
8545,sydney school closed,28
8353,student tests positive,28
1507,coronavirus live sydney,28
8530,surveys please complete,28
8765,tests positive death,28
1143,closed student tests,28
8996,toll hits latest,28
3459,hear families life,28
9518,want hear families,28
5579,parents carers children,28
4324,life since schools,28
2745,families life since,28
1842,created two surveys,28
9131,two surveys please,28
7229,schools closed due,28
1713,could reopen june,28
5838,please complete share,28
8010,since schools closed,28
5904,positive death toll,28
5063,network parents carers,28
7959,shut schools colleges,28
7724,scottish schools early,27
1512,coronavirus lockdown coronavirus,27
1705,could overwhelm nhs,27
3233,gosh wonder they,27
1547,coronavirus outbreak guardian,27
6649,reopening scottish schools,27
9144,uk come end,27
7286,schools early could,27
9764,wonder they re,27
6321,re afraid fearful,27
4816,might lockdown uk,27
4437,lockdown coronavirus outbreak,27
8831,they re afraid,27
156,afraid fearful britons,27
2319,early could overwhelm,27
4495,lockdown uk come,27
3260,government like governments,26
3244,government ask deep,26
1365,control government ask,26
4413,local authorities brace,26
8904,time coronavirus control,26
7066,says will time,26
9742,will time coronavirus,26
382,ask deep probing,26
2026,deep probing questions,26
9229,undoubtedly government like,26
4874,mistakes michaelgove says,26
7533,schools reopening lockdown,26
4808,michaelgove says will,26
4575,made mistakes michaelgove,26
4341,like governments made,26
6061,probing questions handled,26
424,authorities brace surge,26
6251,questions handled crisis,26
9247,unions across uk,26
3191,go back uk,26
3283,governments made mistakes,26
1403,coronavirus control government,26
1653,coronavirus uk schools,25
9461,visualising impact covid,25
933,childminders fearing futures,25
7090,school closure database,25
3691,impact covid global,25
7497,schools reopen learn,25
3653,huge consequences staff,25
928,childcare providers seldom,25
1771,covid global education,25
4934,mspowerbi fihi_mafihi paulinemrose,25
3068,futures huge consequences,25
571,big focus schools,25
4795,mentioned spoke nurseries,25
1165,closure database using,25
871,cgdevs school closure,25
4829,minding gap visualising,25
8163,spoke nurseries childminders,25
2781,fearing futures huge,25
8209,staff parents economy,25
3076,gap visualising impact,25
5271,nurseries childminders fearing,25
2815,fihi_mafihi paulinemrose blog,25
593,blog announcing new,25
5127,new tool display,25
5126,new theres big,25
2909,focus schools reopening,25
5590,parents economy whole,25
6336,read blog announcing,25
5661,paulinemrose blog tool,25
280,announcing new tool,25
9375,using mspowerbi fihi_mafihi,25
1942,database using mspowerbi,25
4435,lockdown childcare providers,25
6604,reopening lockdown childcare,25
1311,consequences staff parents,25
8824,theres big focus,25
6518,reopen learn europe,25
2175,display cgdevs school,25
7831,seldom mentioned spoke,25
9011,tool display cgdevs,25
3180,global education read,25
6133,providers seldom mentioned,25
2409,education read blog,25
4216,learn europe happen,25
