,trigram,n
2240,top uk lockdown,10
1868,schools uk may,10
2360,via specktator100 tes,10
2466,worlds second highest,10
891,hubei province begin,10
577,education best practice,9
2504,yorks education system,9
1957,shock doctrine style,9
533,doctrine style move,9
761,gates help seems,9
599,education system wants,9
56,andrew cuomo announced,9
603,educationgovuk published tranche,9
1933,seems like pure,9
60,announced going use,9
1339,pandemic revolutionize new,9
1238,new yorks education,9
2057,stresses provision still,9
455,cuomo announced going,9
2072,studies schools stresses,9
423,covid pandemic revolutionize,9
1204,need ppe schools,9
2076,style move implement,9
1863,schools stresses provision,9
1849,schools return says,9
2122,system wants bill,9
846,help seems like,9
2344,use covid pandemic,9
1503,pure naomiaklein shock,9
2384,wants bill gates,9
1656,return says minister,9
196,case studies schools,9
1559,remote education best,9
131,best practice case,9
903,implement charter schools,9
1446,practice case studies,9
1443,ppe schools return,9
2438,wont need ppe,9
1047,like pure naomiaklein,9
2158,teachers wont need,9
139,bill gates help,9
1666,revolutionize new yorks,9
1177,move implement charter,9
1482,provision still optional,9
786,going use covid,9
1495,published tranche remote,9
1193,naomiaklein shock doctrine,9
2250,tranche remote education,9
1000,launched consultation process,8
1463,process identify online,8
1900,scottish schools early,8
641,europe stay home,8
1620,reopening scottish schools,8
1245,news maryboustedneu cyclingkev,8
502,department education launched,8
1327,overwhelm nhs bbc,8
469,data metadoc fjcolon,8
315,consultation process identify,8
899,identify online education,8
291,closures much less,8
904,implores schools reopen,8
2045,stopping mass gatherings,8
36,advises teachers teach,8
101,awhile implores schools,8
1637,resources promote schools,8
1137,measures flatten coronavirus,8
114,bbc news maryboustedneu,8
1115,maryboustedneu cyclingkev neunion,8
280,closing schools effective,8
924,inperson for awhile,8
2036,stay home orders,8
460,curves europe stay,8
1118,mass gatherings closing,8
1471,promote schools parents,8
1252,nhs bbc news,8
593,education resources promote,8
1780,schools early could,8
377,coronavirus reopening scottish,8
2133,teach inperson for,8
1783,schools effective measures,8
1293,online education resources,8
561,early could overwhelm,8
1184,much less analysis,8
168,business closures much,8
1316,orders business closures,8
2154,teachers teach inperson,8
409,could overwhelm nhs,8
582,education launched consultation,8
1534,real data metadoc,8
722,for awhile implores,8
55,analysis real data,8
709,flatten coronavirus curves,8
607,effective measures flatten,8
762,gatherings closing schools,8
871,home orders business,8
1146,metadoc fjcolon epr_hpru,8
1027,less analysis real,8
708,fjcolon epr_hpru uearesearch,8
339,coronavirus curves europe,8
2261,trump advises teachers,8
12,across uk ireland,7
2276,uk ireland written,7
2275,uk ireland urging,7
1065,local authorities brace,7
1601,reopening coronavirus crisis,7
1262,nine trade unions,7
588,education ministers uk,7
208,caution schools reopening,7
2488,write education ministers,7
2310,unions write education,7
1195,nasuwt nine trade,7
750,full text letter,7
96,authorities brace surge,7
337,coronavirus crisis full,7
938,ireland urging significant,7
2248,trade unions write,7
443,crisis full text,7
1844,schools reopening coronavirus,7
1974,significant caution schools,7
1165,ministers uk ireland,7
370,coronavirus pandemic schools,7
832,health board published,6
1828,schools reopen chinese,6
589,education ministers urging,6
1484,prudent que les,6
940,ireland written joint,6
1155,million teachers across,6
1510,queers make duty,6
1539,really keep children,6
1033,letter thanks teachers,6
1154,military support personnel,6
713,follow covid19 live,6
1693,rouvrir les écoles,6
1256,nhs workers families,6
1166,ministers urging significant,6
1509,que les français,6
1805,schools neunion nasuwt,6
1196,nasuwt patrickr_nasuwt coronavirusuk,6
1485,préparent un déconfinement,6
1486,psychological support hub,6
558,duty know history,6
1290,one million teachers,6
1764,schools childcare staff,6
1296,online psychological support,6
560,déconfinement plus prudent,6
1064,ll releasing statistics,6
746,frontline nhs workers,6
1966,shut schools colleges,6
1483,provoquer une deuxième,6
1492,published open letter,6
1300,open letter thanks,6
1383,personnel crisis please,6
747,frontlineworkers coronavirus pandemic,6
1744,school closures mentioned,6
1030,letter education ministers,6
862,history cos sure,6
1026,les écoles trop,6
1338,pandemic new hub,6
1104,make duty know,6
969,keep children apart,6
1902,se préparent un,6
964,joint letter education,6
1655,return really keep,6
1427,population would think,6
1881,schools worry warning,6
1434,pourrait provoquer une,6
1435,powys teaching health,6
1234,new hub support,6
1436,powyscc powyssch colleagues,6
1223,neunion nasuwt patrickr_nasuwt,6
1627,representing around one,6
1612,reopening schools neunion,6
1437,powyssch colleagues work,6
1101,majority straight population,6
1100,majority dont queers,6
1025,les français covid19,6
989,know history cos,6
1024,les britanniques se,6
1361,parties coronavirus deaths,6
1144,mentioned bbcnews we,6
1848,schools return really,6
874,home workers military,6
1420,plus prudent que,6
889,hub frontlineworkers coronavirus,6
1556,releasing statistics tomorrow,6
890,hub support frontline,6
1353,parents coronavirus schoolclosures,6
1337,pandemic differently better,6
1001,launched online psychological,6
678,families care home,6
1566,reopen chinese city,6
1352,parents coronavirus school,6
1972,significant caution consideration,6
2509,écoles trop vite,6
2456,workers families care,6
382,coronavirus schools reopen,6
2377,wales follow covid19,6
2457,workers military support,6
2260,trop vite pourrait,6
141,board published open,6
258,chinese city pandemic,6
2053,street parties coronavirus,6
369,coronavirus pandemic new,6
2369,vite pourrait provoquer,6
379,coronavirus school closures,6
2469,worry warning day,6
2049,straight population would,6
42,aint taught schools,6
